features,sing,num,l1,l2,acc,auc
160,100,1,True,True,0.7124999761581421,0.7779862414008756
160,100,2,True,True,0.7250000238418579,0.7545572916666667
160,100,3,True,True,0.7624999880790709,0.81265664160401
160,100,4,True,True,0.625,0.6603028308097433
160,100,5,True,True,0.7124999761581421,0.7818181818181817
160,100,6,True,True,0.7250000238418579,0.7960858585858586
160,100,7,True,True,0.7250000238418579,0.80083857442348
160,100,8,True,True,0.699999988079071,0.7587301587301587
160,100,9,True,True,0.7124999761581421,0.7556415215989685
160,100,10,True,True,0.7624999880790709,0.8588007736943907
160,100,11,True,True,0.6499999761581421,0.7491548343475319
160,100,12,True,True,0.7624999880790709,0.7222222222222222
160,100,13,True,True,0.7124999761581421,0.7762733720180529
160,100,14,True,True,0.8374999761581421,0.8606770833333334
160,100,15,True,True,0.75,0.7873015873015872
160,100,16,True,True,0.7375000119209291,0.8347578347578347
160,100,17,True,True,0.7250000238418579,0.7775524002704529
160,100,18,True,True,0.7250000238418579,0.7766927083333333
160,100,19,True,True,0.7749999761581421,0.8207607994842038
160,100,20,True,True,0.6625000238418579,0.6910074374577417
160,100,21,True,True,0.7749999761581421,0.8465473145780051
160,100,22,True,True,0.612500011920929,0.7978933508887427
160,100,23,True,True,0.6875,0.7348484848484849
160,100,24,True,True,0.7749999761581421,0.7768762677484786
160,100,25,True,True,0.75,0.8101503759398496
160,100,26,True,True,0.637499988079071,0.6656191074795725
160,100,27,True,True,0.675000011920929,0.7406188281764319
160,100,28,True,True,0.7375000119209291,0.7044270833333333
160,100,29,True,True,0.8000000119209291,0.8607167004732927
160,100,30,True,True,0.637499988079071,0.748046875
160,100,31,True,True,0.8000000119209291,0.8980654761904762
160,100,32,True,True,0.7875000238418579,0.8542875564152159
160,100,33,True,True,0.6499999761581421,0.6491963661774982
160,100,34,True,True,0.48750001192092896,0.7729831144465291
160,100,35,True,True,0.7375000119209291,0.790521978021978
160,100,36,True,True,0.675000011920929,0.7666240409207161
160,100,37,True,True,0.7250000238418579,0.7727864583333333
160,100,38,True,True,0.7624999880790709,0.8253333333333334
160,100,39,True,True,0.75,0.7720634920634921
160,100,40,True,True,0.7375000119209291,0.7418546365914787
160,100,41,True,True,0.6625000238418579,0.6686009026434558
160,100,42,True,True,0.7250000238418579,0.7774851876234364
160,100,43,True,True,0.6875,0.7187301587301588
160,100,44,True,True,0.625,0.7454427083333333
160,100,45,True,True,0.6625000238418579,0.7253333333333334
160,100,46,True,True,0.8125,0.8475783475783476
160,100,47,True,True,0.612500011920929,0.7735352205398288
160,100,48,True,True,0.699999988079071,0.76953125
160,100,49,True,True,0.75,0.8302954116907606
160,100,50,True,True,0.75,0.7775628626692457
200,100,1,True,True,0.7250000238418579,0.7735849056603774
200,100,2,True,True,0.7250000238418579,0.7086894586894588
200,100,3,True,True,0.699999988079071,0.7898412698412698
200,100,4,True,True,0.8000000119209291,0.8206666666666667
200,100,5,True,True,0.8374999761581421,0.8894230769230769
200,100,6,True,True,0.7124999761581421,0.7905982905982906
200,100,7,True,True,0.7250000238418579,0.7749360613810741
200,100,8,True,True,0.6875,0.7593650793650795
200,100,9,True,True,0.675000011920929,0.6336507936507936
200,100,10,True,True,0.7250000238418579,0.792
200,100,11,True,True,0.7624999880790709,0.7109375
200,100,12,True,True,0.6499999761581421,0.7653452685421995
200,100,13,True,True,0.75,0.7458791208791209
200,100,14,True,True,0.75,0.8166666666666667
200,100,15,True,True,0.8125,0.7948717948717949
200,100,16,True,True,0.7875000238418579,0.8267263427109974
200,100,17,True,True,0.7250000238418579,0.8
200,100,18,True,True,0.7124999761581421,0.8020833333333333
200,100,19,True,True,0.7624999880790709,0.7789046653144016
200,100,20,True,True,0.7624999880790709,0.7727920227920229
200,100,21,True,True,0.7124999761581421,0.866166353971232
40,0,11,True,True,0.7875000238418579,0.8878143133462282
40,0,12,True,True,0.7375000119209291,0.8561197916666667
40,0,13,True,True,0.6875,0.8061868686868687
40,0,14,True,True,0.637499988079071,0.7227595099935527
40,0,15,True,True,0.8000000119209291,0.8120351588911427
40,50,11,True,True,0.8000000119209291,0.8771929824561404
40,50,12,True,True,0.637499988079071,0.7894736842105263
40,50,13,True,True,0.75,0.8262362637362637
40,50,14,True,True,0.7124999761581421,0.7698259187620892
40,50,15,True,True,0.75,0.7978933508887427
40,100,11,True,True,0.699999988079071,0.765625
40,100,12,True,True,0.7250000238418579,0.8029350104821802
40,100,13,True,True,0.6875,0.7224702380952381
40,100,14,True,True,0.637499988079071,0.6842447916666667
40,100,15,True,True,0.75,0.8107769423558897
80,0,11,True,True,0.8374999761581421,0.8972746331236897
80,0,12,True,True,0.7749999761581421,0.8518762343647136
80,0,13,True,True,0.699999988079071,0.7291666666666666
80,0,14,True,True,0.8000000119209291,0.8985801217038539
80,0,15,True,True,0.550000011920929,0.8743686868686869
80,50,11,True,True,0.7124999761581421,0.8118686868686869
80,50,12,True,True,0.8000000119209291,0.8033526756931012
80,50,13,True,True,0.8000000119209291,0.8028273809523809
80,50,14,True,True,0.8000000119209291,0.8571428571428572
80,50,15,True,True,0.7375000119209291,0.8492429229756421
80,100,11,True,True,0.6875,0.7985516787360105
80,100,12,True,True,0.6499999761581421,0.7397698209718669
80,100,13,True,True,0.7749999761581421,0.8469601677148847
80,100,14,True,True,0.7375000119209291,0.7973445143256463
80,100,15,True,True,0.7875000238418579,0.8599744245524297
120,0,11,True,True,0.8125,0.8853333333333333
120,0,12,True,True,0.7875000238418579,0.8597761685319291
120,0,13,True,True,0.7250000238418579,0.8080808080808082
120,0,14,True,True,0.7875000238418579,0.9130158730158732
120,0,15,True,True,0.7375000119209291,0.9093183239524704
120,50,11,True,True,0.7624999880790709,0.8810741687979542
120,50,12,True,True,0.8125,0.875
120,50,13,True,True,0.8125,0.8647619047619048
120,50,14,True,True,0.7375000119209291,0.8426666666666667
120,50,15,True,True,0.8249999880790709,0.9119496855345912
120,100,11,True,True,0.7375000119209291,0.7864450127877238
120,100,12,True,True,0.75,0.8303571428571428
120,100,13,True,True,0.75,0.8162475822050289
120,100,14,True,True,0.7250000238418579,0.7992495309568479
120,100,15,True,True,0.7875000238418579,0.8666666666666667
160,0,11,True,True,0.7749999761581421,0.8549093183239524
160,0,12,True,True,0.7124999761581421,0.8046666666666666
160,0,13,True,True,0.7375000119209291,0.813968253968254
160,0,14,True,True,0.8125,0.8753918495297806
160,0,15,True,True,0.8625000119209291,0.9181173436492586
160,50,11,True,True,0.8000000119209291,0.8755641521598969
160,50,12,True,True,0.7124999761581421,0.8145363408521303
160,50,13,True,True,0.7875000238418579,0.8722843976300197
160,50,14,True,True,0.6625000238418579,0.8092243186582809
160,50,15,True,True,0.7749999761581421,0.8678385416666667
160,100,11,True,True,0.6625000238418579,0.6903313049357673
160,100,12,True,True,0.7250000238418579,0.8024296675191815
160,100,13,True,True,0.7875000238418579,0.8743489583333334
160,100,14,True,True,0.7875000238418579,0.8637261356155366
160,100,15,True,True,0.6625000238418579,0.7440361057382334
200,0,11,True,True,0.574999988079071,0.918158567774936
200,0,12,True,True,0.8249999880790709,0.8866758241758241
200,0,13,True,True,0.7749999761581421,0.8698412698412699
200,0,14,True,True,0.8125,0.8874680306905371
200,0,15,True,True,0.8000000119209291,0.8482142857142857
200,50,11,True,True,0.7749999761581421,0.862
200,50,12,True,True,0.675000011920929,0.8145820238843495
200,50,13,True,True,0.8374999761581421,0.9400921658986174
200,50,14,True,True,0.7124999761581421,0.7727272727272727
200,50,15,True,True,0.8500000238418579,0.8971354166666667
200,100,11,True,True,0.8000000119209291,0.8843813387423936
200,100,12,True,True,0.7375000119209291,0.8057142857142856
200,100,13,True,True,0.75,0.7693333333333333
200,100,14,True,True,0.574999988079071,0.6346666666666667
200,100,15,True,True,0.737500011920929,0.7961904761904762
